,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-04-02,2,7.5,1.0,1.0,0.3642241379310345,15721.219999074936,87.0,50.0,1787.1770000000001,2593.011,166.22,58.169,0.0,0.0,186.26000000000002,337.929,0.0,0.0,166.13,
1,2014-04-03,3,6.2,0.0,0.6,0.2082766439909296,13357.236999750137,3.0,0.0,683.937,859.0680000000001,126.547,19.074,0.0,0.0,177.06300000000002,76.273,0.0,0.0,60.230000000000004,
2,2014-04-04,4,6.8,0.8,0.8,0.2530753968253969,2662.620000123975,2.0,0.0,721.729,183.413,176.81,0.0,0.0,0.0,9.051,213.823,0.0,0.0,208.449,
3,2014-04-05,5,7.2,0.4,0.4,0.31308510638297876,5760.280000448223,5.0,0.0,1475.8990000000001,723.807,211.678,2.034,0.0,331.01800000000003,124.21700000000001,0.0,51.254000000000005,0.0,124.52000000000001,
4,2014-04-06,6,6.8,0.4,0.2,0.34457180500658763,7607.652999401089,1.0,0.0,1924.1660000000002,750.526,145.75900000000001,54.044999999999995,0.0,0.0,57.949,17.041,0.0,0.0,40.253,
5,2014-04-07,0,6.6,-0.2,0.2,0.19081439393939387,4865.849000215534,1.0,3.0,880.006,684.411,44.18899999999999,36.157,0.0,0.0,11.035,55.219,0.0,0.0,0.0,
6,2014-04-08,1,7.0,0.6,0.8,0.1863945578231294,3471.144999742509,1.0,0.0,1135.2620000000002,1133.906,197.04500000000004,64.352,0.0,24.468,238.33899999999994,278.06,0.0,0.0,103.298,
7,2014-04-09,2,7.0,0.4,0.6,0.2231663929939792,2681.1589987277985,0.0,0.0,1140.679,1331.804,158.00500000000002,0.0,0.0,12.306000000000001,75.314,84.648,0.0,0.0,77.90100000000001,
8,2014-04-10,3,7.2,0.6,0.6,0.15584261715296213,12990.697999000544,2.0,3.0,1860.8570000000002,4070.7880000000005,328.87200000000007,27.095,0.0,71.53399999999999,56.391999999999996,477.581,0.0,0.0,398.533,
9,2014-04-11,4,7.8,0.2,1.0,0.27016091954023,15270.411998510359,9.0,2.0,6770.821999999999,6904.133,161.515,158.53599999999997,0.0,191.393,96.56099999999999,193.84400000000002,0.0,0.0,946.1750000000001,
10,2014-04-12,5,7.0,0.6,0.8,0.30798701298701303,8756.400999784473,7.0,0.0,1002.7760000000001,1377.379,0.0,0.0,0.0,22.069000000000003,17.107,156.71099999999998,0.0,0.0,0.0,
11,2014-04-13,6,6.8,-0.4,1.0,0.3122215496368038,8151.85900068283,5.0,1.0,1629.422,642.643,339.33900000000006,32.255,0.0,14.316,63.173,28.133,0.0,0.0,153.793,
12,2014-04-14,0,6.2,-0.6,0.2,0.2890874068460278,7094.0679988861075,0.0,2.0,1636.672,1522.853,322.574,6.018,0.0,11.328,193.15800000000002,465.29599999999994,0.0,0.0,71.804,
13,2014-04-15,1,6.75,-0.5,0.5,0.27586309523809527,1383.0059990882883,1.0,0.0,480.268,757.601,29.955,49.322,0.0,0.0,27.095,37.424,0.0,0.0,147.844,
14,2014-04-16,2,7.0,0.0,0.5,0.0982291973671284,3705.0530006885538,3.0,0.0,1399.1499999999999,1272.796,98.313,51.248,0.0,83.49699999999999,179.27399999999994,44.205,0.0,0.0,127.65299999999999,
15,2014-04-17,3,7.0,0.8,1.0,0.286280251381255,4818.922999620437,0.0,0.0,1260.614,2818.4060000000004,228.0,174.81,0.0,17.055999999999997,89.59899999999999,77.111,0.0,0.0,154.326,
16,2014-04-18,4,6.8,0.2,0.8,0.21137931034482751,11573.710998296743,5.0,0.0,19795.012000000002,3977.378,2018.94,0.0,0.0,0.0,150.983,225.166,0.0,0.0,8.041,
