,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-03-19 11:00:00,2,,,,,2160.1320002079015,3.0,1.0,554.7289999999999,1748.853,1533.109,0.0,0.0,0.0,172.09900000000002,220.986,0.0,59.391,0.0,
1,2014-03-19 12:00:00,2,6.0,-2.0,1.0,,131.02499985694882,0.0,0.0,29.199,234.951,0.0,0.0,0.0,0.0,19.059,247.214,0.0,0.0,0.0,
2,2014-03-19 15:00:00,2,7.0,0.0,2.0,,2397.0550000667527,0.0,0.0,295.271,770.7249999999999,624.999,0.0,0.0,0.0,18.039,0.0,31.570999999999998,255.16,0.0,
3,2014-03-19 18:00:00,2,7.0,0.0,1.0,,1948.8849999904637,0.0,2.0,846.8729999999999,809.789,281.826,0.0,0.0,0.0,29.096999999999998,216.517,114.386,0.0,0.0,
4,2014-03-19 21:00:00,2,8.0,-1.0,1.0,,1402.8750002384186,0.0,0.0,165.54399999999998,1222.316,0.0,0.0,0.0,0.0,14.62,0.0,0.0,0.0,0.0,
5,2014-03-20 12:00:00,3,6.0,-2.0,2.0,,6333.447000741954,0.0,0.0,593.605,4342.3769999999995,816.006,0.0,0.0,0.0,20.113,477.929,0.0,0.0,0.0,
6,2014-03-20 15:00:00,3,5.0,0.0,0.0,,420.8759996891023,0.0,0.0,65.136,332.17800000000005,0.0,0.0,0.0,0.0,23.057,0.0,0.0,0.0,0.0,
7,2014-03-20 18:00:00,3,7.0,-1.0,1.0,,989.9450004100806,0.0,0.0,40.682,864.6000000000001,0.0,0.0,0.0,0.0,15.155,59.339,0.0,0.0,0.0,
8,2014-03-20 21:00:00,3,4.0,-1.0,-1.0,,1660.8970003128043,0.0,0.0,193.043,881.413,317.984,0.0,0.0,0.0,9.054,259.37899999999996,0.0,0.0,0.0,
9,2014-03-21 09:00:00,4,5.0,-1.0,-1.0,,7040.416000604628,0.0,1.0,1095.2469999999998,3548.3299999999995,907.7789999999999,0.0,0.0,0.0,37.132999999999996,1178.609,0.0,0.0,0.0,
10,2014-03-21 18:00:00,4,8.0,1.0,2.0,,5346.409999608993,0.0,0.0,631.454,2968.667,330.589,0.0,0.0,0.0,65.2,913.693,164.604,0.0,31.218,
11,2014-03-21 23:00:00,4,5.0,0.0,-1.0,,10439.643000125883,0.0,0.0,10.65,796.972,0.0,0.0,0.0,0.0,9.032,0.0,0.0,0.0,0.0,
12,2014-03-22 08:00:00,5,8.0,0.0,2.0,,1192.5380001068115,0.0,0.0,255.91200000000003,63.241,366.293,0.0,0.0,0.0,9.022,592.781,0.0,0.0,0.0,
13,2014-03-22 13:00:00,5,7.0,-1.0,0.0,,911.7190005779271,0.0,0.0,114.20000000000002,795.0189999999999,0.0,0.0,0.0,0.0,7.043,0.0,0.0,0.0,0.0,
